Timestamp,"Type of Mobile Plan
Jenis Pelan Mudah Alih","Are you satisfied with your current type of mobile plan? (Postpaid/Prepaid)
Adakah anda berpuas hati dengan jenis pelan mudah alih anda? (Pascabayar/Prabayar)","Age
Umur
e.g: 22","Gender
Jantina","Occupation
Pekerjaan","Income (RM)
Pendapatan (RM)
e.g: 5000","Education Level
Tahap Pendidikan","Marital Status
Status Perkahwinan","Number of dependents (person)
Bilangan tanggungan (orang)
e.g: 5","Location
Tempat tinggal","Average Monthly Data Usage (GB)
Purata Penggunaan Data Bulanan (GB)
e.g: 20","Do you often play games (e.g. Mobile Legends, Genshin Impact) ?
Adakah anda sering bermain permainan (e.g. Mobile Legends) ?","Do you often stream? (e.g. Youtube, Netflix)
Adakah anda sering melayari penstriman?  (e.g. Youtube, Netflix)","Do you often use social media? (e.g. TikTok, Instagram)
Adakah anda sering menggunakan media sosial?  (e.g. TikTok, Instagram)","Average Daily Time Spent On Mobile Device (Hours)
Purata Masa Harian Menggunakan Telefon Bimbit (Jam)
e.g: 2","Hotspot Usage
Penggunaan Hotspot","Current Mobile Service Provider
Penyedia Perkhidmatan Mudah Alih","Number of years with current telco
Jumlah tahun dengan telco sekarang
e.g: 3","Monthly expenses on mobile plan (RM)
Perbelanjaan bulanan untuk pelan mudah alih (RM)
e.g: 50","Number of SIM cards owned
Bilangan kad SIM yang dimiliki
e.g: 2","Number of device owned (Laptops, phones, tablets)
Jumlah peranti yang dimiliki (Komputer riba, telefon bimbit, tablet)
e.g: 3","Number of lines in household
Jumlah talian mudah alih dalam isi rumah
e.g: 4","Do you have a smartphone under contract?
Adakah anda mempunyai telefon pintar di bawah kontrak?","Do you have Wi-Fi at home?
Adakah anda mempunyai Wi-Fi di rumah?",Column 25
5/20/2025 12:24:52,Postpaid,Yes / Ya,57,Male / Lelaki,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Urban / Bandar,20,No / Tidak,Yes / Ya,Yes / Ya,2,Sometimes / Kadang Kala,U Mobile,8,40,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 12:28:54,Prepaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,8,Rural / Luar bandar,10,No / Tidak,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,Tune Talk,10,50,23,3,3,No / Tidak,Yes / Ya,
5/20/2025 12:34:19,Prepaid,Yes / Ya,29,Male / Lelaki,Employed / Bekerja,3000,Master's Degree / Ijazah Sarjana,Single / Bujang,1,Urban / Bandar,60,Yes / Ya,Yes / Ya,Yes / Ya,5,Often / Selalu,CelcomDigi,750,50,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 12:40:27,Postpaid,Yes / Ya,65,Male / Lelaki,Retired / Telah bersara,4000,High School / Sekolah Menengah / SPM / SVM / O-Level,Married / Berkahwin,7,Rural / Luar bandar,50,No / Tidak,Yes / Ya,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,5,300,2,2,5,Yes / Ya,No / Tidak,
5/20/2025 12:41:49,Postpaid,Yes / Ya,54,Female / Perempuan,Employed / Bekerja,10200,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Urban / Bandar,15,No / Tidak,No / Tidak,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,7,130,2,23,3,Yes / Ya,Yes / Ya,
5/20/2025 12:47:58,Postpaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,4,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,4,Sometimes / Kadang Kala,U Mobile,2,106,2,1,5,No / Tidak,Yes / Ya,
5/20/2025 12:57:07,Postpaid,Yes / Ya,22,Female / Perempuan,Student / Pelajar,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,20,No / Tidak,Yes / Ya,Yes / Ya,12,Sometimes / Kadang Kala,CelcomDigi,11,200,1,3,5,No / Tidak,Yes / Ya,
5/20/2025 12:58:14,Prepaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,5500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Sub-urban / Pinggir bandar,2,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,U Mobile,5,25,1,2,4,No / Tidak,Yes / Ya,
5/20/2025 12:58:17,Postpaid,Yes / Ya,49,Female / Perempuan,Employed / Bekerja,20000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,2,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,4,Sometimes / Kadang Kala,CelcomDigi,25,200,1,3,1,No / Tidak,Yes / Ya,
5/20/2025 13:01:29,Prepaid,Yes / Ya,47,Female / Perempuan,Unemployed / Tidak bekerja,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,6,Urban / Bandar,10,No / Tidak,Yes / Ya,Yes / Ya,4,Sometimes / Kadang Kala,Tune Talk,4,50,1,2,5,No / Tidak,Yes / Ya,
5/20/2025 13:07:01,Postpaid,Yes / Ya,61,Male / Lelaki,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,6,Rural / Luar bandar,30,No / Tidak,No / Tidak,Yes / Ya,6,Rarely / Jarang,CelcomDigi,2,70,1,2,4,Yes / Ya,Yes / Ya,
5/20/2025 13:16:40,Prepaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,6500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Urban / Bandar,35,No / Tidak,No / Tidak,Yes / Ya,1,Often / Selalu,CelcomDigi,5,351,1,1,12,No / Tidak,Yes / Ya,
5/20/2025 13:23:45,Postpaid,Yes / Ya,50,Female / Perempuan,Employed / Bekerja,11000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Sub-urban / Pinggir bandar,100,No / Tidak,No / Tidak,Yes / Ya,2,Rarely / Jarang,CelcomDigi,10,98,1,3,5,No / Tidak,Yes / Ya,
5/20/2025 14:12:18,Postpaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,6000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,6,Urban / Bandar,10,No / Tidak,Yes / Ya,No / Tidak,1,Rarely / Jarang,CelcomDigi,10,42,1,27,7,No / Tidak,Yes / Ya,
5/20/2025 14:13:23,Postpaid,Yes / Ya,64,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,1,Rural / Luar bandar,40,No / Tidak,No / Tidak,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,5,40,1,1,2,No / Tidak,Yes / Ya,
5/20/2025 14:14:50,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 14:19:19,Postpaid,Yes / Ya,51,Female / Perempuan,Retired / Telah bersara,0,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,4,Sub-urban / Pinggir bandar,20,No / Tidak,No / Tidak,Yes / Ya,2,Rarely / Jarang,CelcomDigi,20,50,1,2,2,Yes / Ya,Yes / Ya,
5/20/2025 14:21:45,Prepaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Urban / Bandar,20,No / Tidak,Yes / Ya,No / Tidak,3,Rarely / Jarang,CelcomDigi,10,85,1,1,5,No / Tidak,Yes / Ya,
5/20/2025 14:22:49,Postpaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,1000,High School / Sekolah Menengah / SPM / SVM / O-Level,Married / Berkahwin,2,Sub-urban / Pinggir bandar,20,Yes / Ya,Yes / Ya,Yes / Ya,2,Rarely / Jarang,CelcomDigi,5,50,2,1,4,No / Tidak,Yes / Ya,
5/20/2025 14:35:37,Prepaid,Yes / Ya,32,Male / Lelaki,Employed / Bekerja,10000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Sub-urban / Pinggir bandar,60,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,CelcomDigi,5,49,1,3,2,No / Tidak,No / Tidak,
5/20/2025 15:09:27,Prepaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,3000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,4,Urban / Bandar,35,No / Tidak,No / Tidak,Yes / Ya,5,Rarely / Jarang,Tune Talk,10,35,1,1,4,No / Tidak,Yes / Ya,
5/20/2025 15:17:15,Postpaid,Yes / Ya,61,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Rural / Luar bandar,20,No / Tidak,Yes / Ya,No / Tidak,3,Rarely / Jarang,CelcomDigi,2,50,2,2,3,No / Tidak,Yes / Ya,
5/20/2025 15:53:32,Postpaid,Yes / Ya,59,Female / Perempuan,Retired / Telah bersara,3000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Sub-urban / Pinggir bandar,20,No / Tidak,No / Tidak,Yes / Ya,2,Rarely / Jarang,U Mobile,5,40,1,1,7,No / Tidak,No / Tidak,
5/20/2025 16:03:38,Postpaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,5000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,0,Sub-urban / Pinggir bandar,100,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,CelcomDigi,10,100,1,1,1,No / Tidak,Yes / Ya,
5/20/2025 16:17:02,Postpaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,6000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Rural / Luar bandar,50,No / Tidak,Yes / Ya,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,15,100,1,2,2,Yes / Ya,Yes / Ya,
5/20/2025 16:18:32,Prepaid,Yes / Ya,28,Female / Perempuan,Unemployed / Tidak bekerja,-,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Urban / Bandar,60,No / Tidak,No / Tidak,Yes / Ya,1,Rarely / Jarang,Maxis,2,25,1,3,2,No / Tidak,Yes / Ya,
5/20/2025 16:25:33,Prepaid,Yes / Ya,33,Female / Perempuan,Unemployed / Tidak bekerja,-,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Urban / Bandar,10,No / Tidak,Yes / Ya,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,8,15,1,1,2,No / Tidak,Yes / Ya,
5/20/2025 16:36:01,Postpaid,Yes / Ya,31,Female / Perempuan,Employed / Bekerja,3500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Sub-urban / Pinggir bandar,150,No / Tidak,No / Tidak,Yes / Ya,4,Sometimes / Kadang Kala,Maxis,2,80,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 16:53:36,Prepaid,Yes / Ya,30,Female / Perempuan,Employed / Bekerja,2000,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,2,Sub-urban / Pinggir bandar,100,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,OneOnexox,1,35,1,3,5,No / Tidak,Yes / Ya,
5/20/2025 16:57:26,Postpaid,Yes / Ya,51,Female / Perempuan,Employed / Bekerja,6000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Rural / Luar bandar,20,No / Tidak,Yes / Ya,Yes / Ya,2,Sometimes / Kadang Kala,Yes,5,50,2,2,5,No / Tidak,Yes / Ya,
5/20/2025 17:04:51,Postpaid,Yes / Ya,25,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Rural / Luar bandar,80,No / Tidak,Yes / Ya,Yes / Ya,10,Sometimes / Kadang Kala,Maxis,3,42,1,2,2,No / Tidak,Yes / Ya,
5/20/2025 17:17:12,Prepaid,Yes / Ya,30,Female / Perempuan,Unemployed / Tidak bekerja,0,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,0,Rural / Luar bandar,10,No / Tidak,Yes / Ya,Yes / Ya,3,Often / Selalu,Maxis,5,50,2,1,2,No / Tidak,No / Tidak,
5/20/2025 17:18:37,Prepaid,Yes / Ya,53,Male / Lelaki,Employed / Bekerja,7000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Sub-urban / Pinggir bandar,30,No / Tidak,Yes / Ya,Yes / Ya,10,Sometimes / Kadang Kala,Yes,10,30,2,2,3,No / Tidak,Yes / Ya,
5/20/2025 17:30:17,Postpaid,Yes / Ya,38,Female / Perempuan,Employed / Bekerja,5000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,5,Sub-urban / Pinggir bandar,100,No / Tidak,Yes / Ya,Yes / Ya,20,Sometimes / Kadang Kala,Maxis,11,65,1,2,5,No / Tidak,No / Tidak,
5/20/2025 17:33:42,Postpaid,Yes / Ya,22,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,6,Rarely / Jarang,Maxis,2,50,1,2,2,Yes / Ya,Yes / Ya,
5/20/2025 17:34:01,Prepaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 17:34:49,Postpaid,Yes / Ya,53,Male / Lelaki,Employed / Bekerja,7000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,6,Urban / Bandar,50,No / Tidak,Yes / Ya,Yes / Ya,6,Rarely / Jarang,CelcomDigi,8,150,2,3,6,No / Tidak,Yes / Ya,
5/20/2025 17:35:13,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 17:37:07,Postpaid,Yes / Ya,26,Male / Lelaki,Student / Pelajar,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Sub-urban / Pinggir bandar,50,No / Tidak,Yes / Ya,Yes / Ya,8,Sometimes / Kadang Kala,Maxis,6,100,1,3,3,No / Tidak,Yes / Ya,
5/20/2025 17:38:59,Postpaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,0,Master's Degree / Ijazah Sarjana,Single / Bujang,0,Urban / Bandar,400,Yes / Ya,Yes / Ya,Yes / Ya,12,Often / Selalu,Maxis,1,100,4,9,2,No / Tidak,Yes / Ya,
5/20/2025 17:39:55,Prepaid,Yes / Ya,49,Male / Lelaki,Employed / Bekerja,7000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Sub-urban / Pinggir bandar,20,No / Tidak,Yes / Ya,Yes / Ya,3,Often / Selalu,CelcomDigi,7,50,2,11,7,Yes / Ya,Yes / Ya,
5/20/2025 17:40:43,Prepaid,Yes / Ya,61,Female / Perempuan,Retired / Telah bersara,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,4,Sometimes / Kadang Kala,Maxis,10,30,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 17:41:02,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 17:41:08,Postpaid,Yes / Ya,21,Female / Perempuan,Student / Pelajar,700,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,100,No / Tidak,Yes / Ya,Yes / Ya,3,Often / Selalu,CelcomDigi,5,50,1,3,2,No / Tidak,Yes / Ya,
5/20/2025 17:41:16,Prepaid,Yes / Ya,49,Female / Perempuan,Employed / Bekerja,7000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Sub-urban / Pinggir bandar,30,No / Tidak,No / Tidak,Yes / Ya,2,Sometimes / Kadang Kala,CelcomDigi,4,30,1,2,4,No / Tidak,Yes / Ya,
5/20/2025 17:41:22,Prepaid,Yes / Ya,25,Male / Lelaki,Employed / Bekerja,6000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,1,Urban / Bandar,22,No / Tidak,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,Unifi Mobile,3,60,2,3,6,Yes / Ya,Yes / Ya,
5/20/2025 17:41:56,Postpaid,Yes / Ya,54,Female / Perempuan,Employed / Bekerja,6000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Urban / Bandar,49,No / Tidak,Yes / Ya,Yes / Ya,4,Sometimes / Kadang Kala,CelcomDigi,12,140,23,3,4,Yes / Ya,Yes / Ya,
5/20/2025 17:42:02,Prepaid,Yes / Ya,45,Female / Perempuan,Employed / Bekerja,4560,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,7,Sub-urban / Pinggir bandar,25,No / Tidak,Yes / Ya,Yes / Ya,2,Sometimes / Kadang Kala,U Mobile,2,35,1,3,4,No / Tidak,Yes / Ya,
5/20/2025 17:46:49,Postpaid,Yes / Ya,58,Male / Lelaki,Employed / Bekerja,5000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,3,Sub-urban / Pinggir bandar,40,No / Tidak,Yes / Ya,Yes / Ya,5,Sometimes / Kadang Kala,CelcomDigi,20,100,1,2,4,Yes / Ya,Yes / Ya,
5/20/2025 17:48:56,Prepaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 17:49:11,Prepaid,Yes / Ya,46,Female / Perempuan,Employed / Bekerja,8000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Urban / Bandar,6,No / Tidak,Yes / Ya,Yes / Ya,5,Rarely / Jarang,U Mobile,7,30,1,2,4,No / Tidak,No / Tidak,
5/20/2025 17:50:57,Prepaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,2000,High School / Sekolah Menengah / SPM / SVM / O-Level,Married / Berkahwin,3,Urban / Bandar,40,Yes / Ya,No / Tidak,Yes / Ya,8,Rarely / Jarang,U Mobile,10,38,1,3,3,No / Tidak,Yes / Ya,
5/20/2025 17:53:34,Prepaid,Yes / Ya,51,Male / Lelaki,Employed / Bekerja,8000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Rural / Luar bandar,100,No / Tidak,Yes / Ya,Yes / Ya,4,Often / Selalu,Tune Talk,5,35,2,2,4,No / Tidak,Yes / Ya,
5/20/2025 17:59:25,Prepaid,Yes / Ya,46,Male / Lelaki,Employed / Bekerja,7000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,6,Sub-urban / Pinggir bandar,10,No / Tidak,No / Tidak,Yes / Ya,3,Sometimes / Kadang Kala,CelcomDigi,5,20,1,2,5,No / Tidak,Yes / Ya,
5/20/2025 18:00:57,Postpaid,Yes / Ya,65,Female / Perempuan,Retired / Telah bersara,2000,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,2,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,4,Rarely / Jarang,CelcomDigi,8,100,1,2,4,No / Tidak,Yes / Ya,
5/20/2025 18:03:05,Postpaid,Yes / Ya,22,Female / Perempuan,Student / Pelajar,200,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,1,Urban / Bandar,200,Yes / Ya,Yes / Ya,Yes / Ya,4,Often / Selalu,Maxis,1,60,2,1,0,No / Tidak,Yes / Ya,
5/20/2025 18:04:17,Postpaid,Yes / Ya,56,Female / Perempuan,Employed / Bekerja,9963,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Urban / Bandar,30,No / Tidak,No / Tidak,Yes / Ya,2,Sometimes / Kadang Kala,redONE,5,63,1,2,4,No / Tidak,Yes / Ya,
5/20/2025 18:07:04,Prepaid,Yes / Ya,55,Male / Lelaki,Employed / Bekerja,9000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,CelcomDigi,20,50,1,3,6,No / Tidak,Yes / Ya,
5/20/2025 18:10:06,Postpaid,Yes / Ya,47,Female / Perempuan,Employed / Bekerja,4300,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,1,Urban / Bandar,8,No / Tidak,Yes / Ya,Yes / Ya,4,Often / Selalu,CelcomDigi,20,114,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 18:10:27,Prepaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,4000,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,1,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,5,Rarely / Jarang,Onexox,1,20,1,2,2,No / Tidak,Yes / Ya,
5/20/2025 18:11:04,Prepaid,Yes / Ya,22,Female / Perempuan,Student / Pelajar,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,8,No / Tidak,No / Tidak,Yes / Ya,4,Sometimes / Kadang Kala,CelcomDigi,4,20,1,3,4,No / Tidak,Yes / Ya,
5/20/2025 18:11:29,Prepaid,Yes / Ya,58,Female / Perempuan,Retired / Telah bersara,4500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Urban / Bandar,20,No / Tidak,No / Tidak,Yes / Ya,8,Sometimes / Kadang Kala,U Mobile,5,40,1,2,3,No / Tidak,Yes / Ya,
5/20/2025 18:12:45,Postpaid,Yes / Ya,22,Female / Perempuan,Employed / Bekerja,1700,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,1,Sub-urban / Pinggir bandar,20,No / Tidak,Yes / Ya,Yes / Ya,5,Rarely / Jarang,Unifi Mobile,3,30,5,3,10,No / Tidak,Yes / Ya,
5/20/2025 18:12:53,Postpaid,Yes / Ya,53,Female / Perempuan,Employed / Bekerja,7000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,6,Urban / Bandar,20,No / Tidak,Yes / Ya,Yes / Ya,12,Often / Selalu,CelcomDigi,10,80,1,6,8,Yes / Ya,Yes / Ya,
5/20/2025 18:18:24,Postpaid,Yes / Ya,50,Male / Lelaki,Employed / Bekerja,4000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,5,Sub-urban / Pinggir bandar,9,No / Tidak,Yes / Ya,Yes / Ya,6,Rarely / Jarang,redONE,6,65,1,3,5,Yes / Ya,Yes / Ya,
5/20/2025 18:25:03,Prepaid,Yes / Ya,18,Female / Perempuan,Student / Pelajar,0,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Sub-urban / Pinggir bandar,30,No / Tidak,Yes / Ya,Yes / Ya,7,Sometimes / Kadang Kala,OneOnexox,6,12,2,2,2,Yes / Ya,Yes / Ya,
5/20/2025 18:25:44,Postpaid,Yes / Ya,58,Male / Lelaki,Employed / Bekerja,4000,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,3,Urban / Bandar,15,No / Tidak,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,CelcomDigi,3,48,12,2,3,No / Tidak,Yes / Ya,
5/20/2025 18:26:20,Postpaid,Yes / Ya,68,Female / Perempuan,Retired / Telah bersara,0,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,0,Sub-urban / Pinggir bandar,20,No / Tidak,No / Tidak,Yes / Ya,2,Rarely / Jarang,Maxis,20,120,1,2,2,No / Tidak,Yes / Ya,
5/20/2025 18:28:23,Postpaid,Yes / Ya,18,Female / Perempuan,Employed / Bekerja,3000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,3,Urban / Bandar,80,No / Tidak,Yes / Ya,Yes / Ya,12,Rarely / Jarang,Yes,4,37,1,2,5,No / Tidak,No / Tidak,
5/20/2025 18:29:23,Prepaid,Yes / Ya,26,Male / Lelaki,Employed / Bekerja,1000,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,3,Rarely / Jarang,CelcomDigi,4,35,1,2,1,No / Tidak,Yes / Ya,
5/20/2025 18:30:45,Prepaid,Yes / Ya,22,Female / Perempuan,Employed / Bekerja,2000,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,150,No / Tidak,Yes / Ya,Yes / Ya,8,Rarely / Jarang,Maxis,6,45,1,1,5,No / Tidak,Yes / Ya,
5/20/2025 18:32:55,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 18:33:26,Prepaid,Yes / Ya,47,Male / Lelaki,Employed / Bekerja,8000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,4,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,2,Rarely / Jarang,CelcomDigi,4,50,1,2,5,No / Tidak,Yes / Ya,
5/20/2025 18:33:37,Prepaid,Yes / Ya,47,Male / Lelaki,Employed / Bekerja,9000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,7,Sub-urban / Pinggir bandar,5,No / Tidak,Yes / Ya,Yes / Ya,2,Rarely / Jarang,CelcomDigi,10,35,1,1,3,No / Tidak,Yes / Ya,
5/20/2025 18:36:31,Prepaid,Yes / Ya,17,Female / Perempuan,Student / Pelajar,0,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,4,Urban / Bandar,25,Yes / Ya,Yes / Ya,Yes / Ya,3,Sometimes / Kadang Kala,Onexox,3,50,1,2,4,Yes / Ya,Yes / Ya,
5/20/2025 18:36:42,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 18:36:58,Prepaid,Yes / Ya,22,Female / Perempuan,Unemployed / Tidak bekerja,300,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,15,Yes / Ya,Yes / Ya,Yes / Ya,12,Sometimes / Kadang Kala,Hotlink ,1,45,1,1,5,No / Tidak,Yes / Ya,
5/20/2025 18:37:37,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/20/2025 18:39:51,Postpaid,Yes / Ya,20,Female / Perempuan,Student / Pelajar,None,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,200,Yes / Ya,Yes / Ya,Yes / Ya,10,Often / Selalu,CelcomDigi,7,80,1,3,7,No / Tidak,No / Tidak,
5/20/2025 18:40:01,Prepaid,Yes / Ya,28,Female / Perempuan,Employed / Bekerja,2500,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,0,Urban / Bandar,6,No / Tidak,Yes / Ya,Yes / Ya,8,Sometimes / Kadang Kala,U Mobile,6,45,2,2,2,No / Tidak,Yes / Ya,
5/20/2025 18:40:59,Postpaid,Yes / Ya,33,Male / Lelaki,Employed / Bekerja,5000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,3,Urban / Bandar,15,Yes / Ya,Yes / Ya,Yes / Ya,5,Rarely / Jarang,CelcomDigi,3,25,2,5,4,No / Tidak,Yes / Ya,
